,COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT,Daily Mean PM2.5 Concentration
105,Solano,2017–2018,Total population,All ages,22.6%,(11.0–34.1),,,11.415426150384366
106,Sonoma,2017–2018,Total population,All ages,18.0%,(8.9–27.1),,,8.247534246575341
107,Stanislaus,2017–2018,Total population,All ages,17.1%,(9.1–25.1),,,14.303919508760952
108,Sutter,2017–2018,Total population,All ages,25.3%,(14.6–36.0),,,12.54949109626693
109,Tehama,2017–2018,Total population,All ages,14.9%,(7.6–22.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",,8.879083901213088
110,Trinity,2017–2018,Total population,All ages,19.1%,(10.5–27.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",,15.955170545943991
111,Tulare,2017–2018,Total population,All ages,20.1%,(8.7–31.5),,,15.651046220859886
112,Tuolumne,2017–2018,Total population,All ages,18.6%,(8.5–28.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",,
113,Ventura,2017–2018,Total population,All ages,11.9%,(7.8–16.1),,,9.342341195389976
114,Yolo,2017–2018,Total population,All ages,19.4%,(9.5–29.3),,,10.228585074626867
115,Yuba,2017–2018,Total population,All ages,18.2%,(10.5–25.8),,,
