,Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
43483,2019,CA,California,Sonoma,6097,6097151203,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,23.8,,,23.0,24.6,"5,130",POINT (-122.6933896 38.32226941),6097151203,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43491,2019,CA,California,Sonoma,6097,6097152702,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.2,,,86.1,86.3,"5,242",POINT (-122.7913312 38.50429832),6097152702,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43492,2019,CA,California,Sonoma,6097,6097153403,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.7,,,27.6,29.8,"3,840",POINT (-122.7999113 38.38068263),6097153403,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43497,2019,CA,California,Sonoma,6097,6097151301,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.4,,,82.1,82.6,"4,587",POINT (-122.7001716 38.33419755),6097151301,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43499,2019,CA,California,Sonoma,6097,6097152000,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,23.5,,,22.9,24.1,"2,079",POINT (-122.7133132 38.44162913),6097152000,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43502,2019,CA,California,Sonoma,6097,6097151203,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26.0,,,25.5,26.6,"5,130",POINT (-122.6933896 38.32226941),6097151203,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43504,2019,CA,California,Sonoma,6097,6097153809,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.0,,,29.2,30.7,"4,336",POINT (-122.7813126 38.53316568),6097153809,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43517,2019,CA,California,Sonoma,6097,6097152300,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,91.6,,,91.1,92.1,"4,329",POINT (-122.6991365 38.46005112),6097152300,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43518,2019,CA,California,Sonoma,6097,6097154202,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.0,,,87.4,88.5,"5,994",POINT (-123.0988818 38.78010108),6097154202,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43519,2019,CA,California,Sonoma,6097,6097153003,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,63.9,,,62.7,65.2,"5,502",POINT (-122.738478 38.434023),6097153003,PREVENT,BPMED,CrdPrv,Taking BP Medication
43521,2019,CA,California,Sonoma,6097,6097151308,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.4,,,27.1,29.6,"4,796",POINT (-122.6998746 38.35624371),6097151308,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43527,2019,CA,California,Sonoma,6097,6097153902,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.6,,,85.5,85.8,"4,147",POINT (-122.8671453 38.61210501),6097153902,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43529,2019,CA,California,Sonoma,6097,6097153102,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.5,,,82.1,82.8,"5,742",POINT (-122.7216578 38.42010072),6097153102,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43536,2019,CA,California,Sonoma,6097,6097153404,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,90.2,,,90.2,90.3,"4,011",POINT (-122.8272072 38.38197359),6097153404,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43554,2019,CA,California,Sonoma,6097,6097152903,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,64.7,,,63.5,65.7,"5,114",POINT (-122.7481502 38.45737536),6097152903,PREVENT,BPMED,CrdPrv,Taking BP Medication
43559,2019,CA,California,Sonoma,6097,6097153401,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.6,,,27.6,29.8,"6,131",POINT (-122.8421721 38.41302007),6097153401,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43565,2019,CA,California,Sonoma,6097,6097153809,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.6,,,27.6,29.6,"4,336",POINT (-122.7813126 38.53316568),6097153809,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43570,2019,CA,California,Sonoma,6097,6097151305,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,65.1,,,63.8,66.4,"5,405",POINT (-122.7066809 38.34331814),6097151305,PREVENT,BPMED,CrdPrv,Taking BP Medication
43574,2019,CA,California,Sonoma,6097,6097153102,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,22.9,,,22.1,23.7,"5,742",POINT (-122.7216578 38.42010072),6097153102,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43584,2019,CA,California,Sonoma,6097,6097154304,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.6,,,89.6,89.6,"2,400",POINT (-123.2008321 38.63514491),6097154304,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43586,2019,CA,California,Sonoma,6097,6097153804,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,68.0,,,66.7,69.3,"3,239",POINT (-122.8126601 38.55651892),6097153804,PREVENT,BPMED,CrdPrv,Taking BP Medication
43589,2019,CA,California,Sonoma,6097,6097151800,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,29.5,,,28.8,30.3,"5,219",POINT (-122.6914121 38.4426838),6097151800,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43590,2019,CA,California,Sonoma,6097,6097152906,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,67.4,,,66.6,68.2,"5,234",POINT (-122.7997713 38.4719787),6097152906,PREVENT,BPMED,CrdPrv,Taking BP Medication
43599,2019,CA,California,Sonoma,6097,6097150601,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,28.2,,,27.5,29.0,"4,089",POINT (-122.6132447 38.23761007),6097150601,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43604,2019,CA,California,Sonoma,6097,6097151308,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.0,,,85.5,86.5,"4,796",POINT (-122.6998746 38.35624371),6097151308,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43609,2019,CA,California,Sonoma,6097,6097150602,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,29.4,,,28.6,30.3,"4,307",POINT (-122.6067941 38.24406941),6097150602,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43627,2019,CA,California,Sonoma,6097,6097151201,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.1,,,26.4,27.7,"6,855",POINT (-122.7029202 38.31727241),6097151201,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43628,2019,CA,California,Sonoma,6097,6097154000,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.7,,,30.2,33.2,"2,597",POINT (-122.9568418 38.6159307),6097154000,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43632,2019,CA,California,Sonoma,6097,6097154202,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.9,,,71.8,73.9,"5,994",POINT (-123.0988818 38.78010108),6097154202,PREVENT,BPMED,CrdPrv,Taking BP Medication
43633,2019,CA,California,Sonoma,6097,6097152000,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,22.2,,,21.5,23.1,"2,079",POINT (-122.7133132 38.44162913),6097152000,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43643,2019,CA,California,Sonoma,6097,6097152906,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.2,,,87.0,87.4,"5,234",POINT (-122.7997713 38.4719787),6097152906,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43644,2019,CA,California,Sonoma,6097,6097152905,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,68.6,,,67.3,69.7,"4,037",POINT (-122.7593359 38.47022731),6097152905,PREVENT,BPMED,CrdPrv,Taking BP Medication
43645,2019,CA,California,Sonoma,6097,6097152600,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,90.9,,,90.6,91.2,"8,365",POINT (-122.6391502 38.52247192),6097152600,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43654,2019,CA,California,Sonoma,6097,6097150602,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.2,,,26.1,28.4,"4,307",POINT (-122.6067941 38.24406941),6097150602,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43655,2019,CA,California,Sonoma,6097,6097151306,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.5,,,85.2,85.9,"3,636",POINT (-122.6932888 38.34711779),6097151306,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43660,2019,CA,California,Sonoma,6097,6097154303,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,80.8,,,79.7,81.9,"1,720",POINT (-123.3382306 38.61334427),6097154303,PREVENT,BPMED,CrdPrv,Taking BP Medication
43662,2019,CA,California,Sonoma,6097,6097151800,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,28.1,,,27.0,29.3,"5,219",POINT (-122.6914121 38.4426838),6097151800,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43667,2019,CA,California,Sonoma,6097,6097153704,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.2,,,31.3,33.1,"3,728",POINT (-123.0063526 38.53105154),6097153704,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43668,2019,CA,California,Sonoma,6097,6097151502,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.9,,,26.8,29.0,"6,591",POINT (-122.6548333 38.38965058),6097151502,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43671,2019,CA,California,Sonoma,6097,6097150609,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,74.5,,,73.1,75.7,"4,465",POINT (-122.6438375 38.25999779),6097150609,PREVENT,BPMED,CrdPrv,Taking BP Medication
43672,2019,CA,California,Sonoma,6097,6097150610,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,66.5,,,65.0,67.9,"4,004",POINT (-122.6401504 38.26546048),6097150610,PREVENT,BPMED,CrdPrv,Taking BP Medication
43673,2019,CA,California,Sonoma,6097,6097153103,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,80.7,,,80.6,80.8,"4,716",POINT (-122.7341704 38.41981308),6097153103,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43679,2019,CA,California,Sonoma,6097,6097150612,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,68.5,,,67.4,69.6,"4,325",POINT (-122.5459066 38.21818966),6097150612,PREVENT,BPMED,CrdPrv,Taking BP Medication
43686,2019,CA,California,Sonoma,6097,6097150306,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.6,,,86.5,86.7,"4,107",POINT (-122.469108 38.3390603),6097150306,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43689,2019,CA,California,Sonoma,6097,6097152600,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,29.4,,,28.4,30.3,"8,365",POINT (-122.6391502 38.52247192),6097152600,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43696,2019,CA,California,Sonoma,6097,6097153808,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.6,,,85.5,85.8,"4,251",POINT (-122.8080827 38.54267003),6097153808,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43701,2019,CA,California,Sonoma,6097,6097152502,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.0,,,71.8,74.2,"3,603",POINT (-122.6641417 38.47844145),6097152502,PREVENT,BPMED,CrdPrv,Taking BP Medication
43719,2019,CA,California,Sonoma,6097,6097151100,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,28.2,,,27.3,29.2,"5,151",POINT (-122.7528019 38.26450304),6097151100,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43723,2019,CA,California,Sonoma,6097,6097152400,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75.3,,,74.4,76.1,"10,001",POINT (-122.7072947 38.48579891),6097152400,PREVENT,BPMED,CrdPrv,Taking BP Medication
43726,2019,CA,California,Sonoma,6097,6097151602,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,95.3,,,95.2,95.3,"3,324",POINT (-122.5990353 38.42135652),6097151602,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43727,2019,CA,California,Sonoma,6097,6097151602,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,84.5,,,83.4,85.6,"3,324",POINT (-122.5990353 38.42135652),6097151602,PREVENT,BPMED,CrdPrv,Taking BP Medication
43743,2019,CA,California,Sonoma,6097,6097151204,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,67.8,,,66.5,69.0,"3,413",POINT (-122.7071936 38.31846316),6097151204,PREVENT,BPMED,CrdPrv,Taking BP Medication
43747,2019,CA,California,Sonoma,6097,6097153005,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.1,,,26.3,27.9,"6,669",POINT (-122.80121 38.43349379),6097153005,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43748,2019,CA,California,Sonoma,6097,6097153705,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.3,,,28.9,31.7,"3,536",POINT (-122.9077417 38.51057767),6097153705,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43750,2019,CA,California,Sonoma,6097,6097153002,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,62.9,,,61.8,64.0,"6,827",POINT (-122.7327422 38.44106405),6097153002,PREVENT,BPMED,CrdPrv,Taking BP Medication
43753,2019,CA,California,Sonoma,6097,6097153006,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,28.8,,,28.1,29.6,"7,286",POINT (-122.7584425 38.44331216),6097153006,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43754,2019,CA,California,Sonoma,6097,6097151900,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.0,,,84.9,85.0,"3,158",POINT (-122.7083532 38.43517162),6097151900,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43757,2019,CA,California,Sonoma,6097,6097150100,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.8,,,31.7,33.8,"2,322",POINT (-122.4306141 38.21566761),6097150100,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43758,2019,CA,California,Sonoma,6097,6097151503,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,92.6,,,92.6,92.6,"3,572",POINT (-122.6284193 38.41235453),6097151503,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43762,2019,CA,California,Sonoma,6097,6097153001,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,24.8,,,23.9,25.6,"6,594",POINT (-122.7367457 38.45091943),6097153001,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43766,2019,CA,California,Sonoma,6097,6097153706,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.4,,,72.6,74.1,"4,092",POINT (-122.9047107 38.4708187),6097153706,PREVENT,BPMED,CrdPrv,Taking BP Medication
43768,2019,CA,California,Sonoma,6097,6097150800,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.5,,,88.2,88.8,"4,994",POINT (-122.6646987 38.20879494),6097150800,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43773,2019,CA,California,Sonoma,6097,6097150304,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.0,,,87.9,88.2,"6,158",POINT (-122.4901627 38.30680561),6097150304,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43781,2019,CA,California,Sonoma,6097,6097150901,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,66.4,,,64.9,67.8,"4,904",POINT (-122.6426229 38.2473829),6097150901,PREVENT,BPMED,CrdPrv,Taking BP Medication
43788,2019,CA,California,Sonoma,6097,6097153806,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.7,,,88.4,88.9,"3,288",POINT (-122.8020381 38.55255134),6097153806,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43790,2019,CA,California,Sonoma,6097,6097153001,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,25.7,,,24.9,26.3,"6,594",POINT (-122.7367457 38.45091943),6097153001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43798,2019,CA,California,Sonoma,6097,6097154000,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75.0,,,73.7,76.3,"2,597",POINT (-122.9568418 38.6159307),6097154000,PREVENT,BPMED,CrdPrv,Taking BP Medication
43801,2019,CA,California,Sonoma,6097,6097150303,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,37.0,,,35.8,38.3,"4,170",POINT (-122.522976 38.29997257),6097150303,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43806,2019,CA,California,Sonoma,6097,6097151601,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,96.4,,,96.3,96.5,"2,901",POINT (-122.5618783 38.46272822),6097151601,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43815,2019,CA,California,Sonoma,6097,6097152201,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.9,,,81.8,84.1,"3,846",POINT (-122.7128593 38.45703202),6097152201,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43822,2019,CA,California,Sonoma,6097,6097151401,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,60.0,,,59.0,61.0,"7,306",POINT (-122.6877295 38.40832426),6097151401,PREVENT,BPMED,CrdPrv,Taking BP Medication
43827,2019,CA,California,Sonoma,6097,6097153902,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,25.0,,,24.0,26.0,"4,147",POINT (-122.8671453 38.61210501),6097153902,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43839,2019,CA,California,Sonoma,6097,6097152100,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,63.7,,,62.7,64.7,"3,004",POINT (-122.7228568 38.45920623),6097152100,PREVENT,BPMED,CrdPrv,Taking BP Medication
43846,2019,CA,California,Sonoma,6097,6097152203,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,71.6,,,70.2,72.9,"3,527",POINT (-122.7070407 38.44834111),6097152203,PREVENT,BPMED,CrdPrv,Taking BP Medication
43851,2019,CA,California,Sonoma,6097,6097150702,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,31.5,,,30.5,32.4,"4,552",POINT (-122.6258145 38.20108918),6097150702,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43861,2019,CA,California,Sonoma,6097,6097151000,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.0,,,28.7,31.4,"3,483",POINT (-122.6798779 38.25766057),6097151000,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43863,2019,CA,California,Sonoma,6097,6097150306,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,69.1,,,68.3,70.0,"4,107",POINT (-122.469108 38.3390603),6097150306,PREVENT,BPMED,CrdPrv,Taking BP Medication
43871,2019,CA,California,Sonoma,6097,6097153103,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,24.1,,,23.3,24.8,"4,716",POINT (-122.7341704 38.41981308),6097153103,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43876,2019,CA,California,Sonoma,6097,6097150800,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.8,,,26.4,29.3,"4,994",POINT (-122.6646987 38.20879494),6097150800,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43877,2019,CA,California,Sonoma,6097,6097151402,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,26.1,,,25.7,26.6,"9,177",POINT (-122.7058248 38.39775066),6097151402,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
