COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
San Diego,2015–2016,Total population,All ages,14.1%,(11.9–16.2),,
San Francisco,2015–2016,Total population,All ages,15.0%,(9.2–20.7),,
San Joaquin,2015–2016,Total population,All ages,14.3%,(9.1–19.5),,
San Luis Obispo,2015–2016,Total population,All ages,11.1%,(5.5–16.8),,
San Mateo,2015–2016,Total population,All ages,18.0%,(12.4–23.7),,
Santa Barbara,2015–2016,Total population,All ages,13.0%,(4.9–21.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2015–2016,Total population,All ages,11.7%,(8.3–15.1),,
Santa Cruz,2015–2016,Total population,All ages,19.2%,(12.6–25.8),,
Shasta,2015–2016,Total population,All ages,12.1%,(6.9–17.2),,
Sierra,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2015–2016,Total population,All ages,21.4%,(13.1–29.8),,
Sonoma,2015–2016,Total population,All ages,16.3%,(8.6–24.1),,
Stanislaus,2015–2016,Total population,All ages,18.8%,(11.4–26.2),,
Sutter,2015–2016,Total population,All ages,18.4%,(5.2–31.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2015–2016,Total population,All ages,14.0%,(7.4–20.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2015–2016,Total population,All ages,14.7%,(9.8–19.6),,
Tuolumne,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2015–2016,Total population,All ages,15.1%,(11.1–19.1),,
Yolo,2015–2016,Total population,All ages,17.2%,(5.3–29.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Total population,All ages,20.2%,(12.6–27.7),,
California,2015–2016,Child vs. adult,0–17 years,14.5%,(12.2–16.8),,
Alameda,2015–2016,Child vs. adult,0–17 years,18.4%,(6.2–30.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2015–2016,Child vs. adult,0–17 years,18.1%,(4.5–31.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2015–2016,Child vs. adult,0–17 years,22.0%,(7.8–36.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2015–2016,Child vs. adult,0–17 years,31.8%,(16.7–46.8),,
Kings,2015–2016,Child vs. adult,0–17 years,33.1%,(9.3–57.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2015–2016,Child vs. adult,0–17 years,12.6%,(8.0–17.2),,
Madera,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2015–2016,Child vs. adult,0–17 years,11.7%,(0.3–23.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2015–2016,Child vs. adult,0–17 years,18.5%,(6.5–30.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2015–2016,Child vs. adult,0–17 years,16.6%,(4.6–28.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2015–2016,Child vs. adult,0–17 years,9.2%,(1.1–17.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2015–2016,Child vs. adult,0–17 years,12.7%,(2.7–22.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Child vs. adult,0–17 years,11.9%,(5.8–18.0),,
San Francisco,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2015–2016,Child vs. adult,0–17 years,20.1%,(1.5–38.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2015–2016,Child vs. adult,0–17 years,11.7%,(0.6–22.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Cruz,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
California,2015–2016,Child vs. adult,18+ years,14.9%,(14.1–15.8),,
Alameda,2015–2016,Child vs. adult,18+ years,13.1%,(9.2–17.0),,
Alpine,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2015–2016,Child vs. adult,18+ years,16.6%,(8.5–24.6),,
Calaveras,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2015–2016,Child vs. adult,18+ years,17.0%,(8.7–25.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2015–2016,Child vs. adult,18+ years,19.1%,(14.2–24.0),,
Del Norte,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
El Dorado,2015–2016,Child vs. adult,18+ years,24.4%,(12.6–36.2),,
Fresno,2015–2016,Child vs. adult,18+ years,15.7%,(9.2–22.2),,
Glenn,2015–2016,Child vs. adult,18+ years,17.0%,(8.7–25.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2015–2016,Child vs. adult,18+ years,18.8%,(7.0–30.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2015–2016,Child vs. adult,18+ years,11.9%,(7.2–16.6),,
Inyo,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2015–2016,Child vs. adult,18+ years,19.9%,(14.2–25.6),,
Kings,2015–2016,Child vs. adult,18+ years,24.4%,(14.5–34.3),,
Lake,2015–2016,Child vs. adult,18+ years,24.0%,(14.0–34.0),,
Lassen,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Los Angeles,2015–2016,Child vs. adult,18+ years,12.7%,(11.1–14.3),,
Madera,2015–2016,Child vs. adult,18+ years,14.3%,(6.7–21.8),,
Marin,2015–2016,Child vs. adult,18+ years,11.3%,(8.1–14.4),,
Mariposa,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2015–2016,Child vs. adult,18+ years,18.0%,(10.4–25.6),,
Merced,2015–2016,Child vs. adult,18+ years,17.4%,(8.3–26.5),,
Modoc,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Mono,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2015–2016,Child vs. adult,18+ years,12.7%,(6.4–19.0),,
Napa,2015–2016,Child vs. adult,18+ years,18.9%,(10.5–27.3),,
Nevada,2015–2016,Child vs. adult,18+ years,11.6%,(5.2–18.0),,
Orange,2015–2016,Child vs. adult,18+ years,11.3%,(8.0–14.5),,
Placer,2015–2016,Child vs. adult,18+ years,17.0%,(9.0–24.9),,
Plumas,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Riverside,2015–2016,Child vs. adult,18+ years,15.2%,(10.2–20.1),,
Sacramento,2015–2016,Child vs. adult,18+ years,21.6%,(16.3–26.9),,
San Benito,2015–2016,Child vs. adult,18+ years,15.7%,(6.4–25.0),,
San Bernardino,2015–2016,Child vs. adult,18+ years,17.1%,(13.4–20.9),,
San Diego,2015–2016,Child vs. adult,18+ years,14.7%,(12.7–16.6),,
San Francisco,2015–2016,Child vs. adult,18+ years,15.2%,(9.4–21.1),,
San Joaquin,2015–2016,Child vs. adult,18+ years,17.8%,(11.9–23.8),,
San Luis Obispo,2015–2016,Child vs. adult,18+ years,13.6%,(7.7–19.5),,
San Mateo,2015–2016,Child vs. adult,18+ years,17.5%,(11.9–23.0),,
Santa Barbara,2015–2016,Child vs. adult,18+ years,11.7%,(4.5–18.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2015–2016,Child vs. adult,18+ years,11.7%,(8.3–15.1),,
Santa Cruz,2015–2016,Child vs. adult,18+ years,20.1%,(13.2–27.0),,
Shasta,2015–2016,Child vs. adult,18+ years,14.9%,(8.7–21.0),,
Sierra,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Siskiyou,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Solano,2015–2016,Child vs. adult,18+ years,24.9%,(15.2–34.6),,
Sonoma,2015–2016,Child vs. adult,18+ years,17.7%,(9.2–26.1),,
Stanislaus,2015–2016,Child vs. adult,18+ years,18.6%,(11.9–25.2),,
Sutter,2015–2016,Child vs. adult,18+ years,17.7%,(7.4–28.0),,
Tehama,2015–2016,Child vs. adult,18+ years,17.0%,(8.7–25.2),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2015–2016,Child vs. adult,18+ years,20.5%,(8.7–32.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",
Tulare,2015–2016,Child vs. adult,18+ years,18.7%,(12.6–24.8),,
Tuolumne,2015–2016,Child vs. adult,18+ years,14.7%,(7.6–21.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2015–2016,Child vs. adult,18+ years,17.0%,(12.1–21.8),,
Yolo,2015–2016,Child vs. adult,18+ years,16.7%,(5.1–28.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Child vs. adult,18+ years,21.4%,(12.9–29.9),,
California,2015–2016,Age groups,0–4 years,4.9%,(3.0–6.8),,
Alameda,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Alpine,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Fresno,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Glenn,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Imperial,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Inyo,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Kings,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lake,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Lassen,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Madera,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Marin,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Merced,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Modoc,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Napa,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Nevada,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Orange,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Placer,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Plumas,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sacramento,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Benito,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Diego,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Francisco,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Santa Cruz,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Shasta,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sierra,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Sutter,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tehama,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yolo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yuba,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
California,2015–2016,Age groups,5–17 years,18.2%,(15.1–21.3),,
Alameda,2015–2016,Age groups,5–17 years,24.1%,(5.9–42.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
